RegId,RegionId,RegionName,RegionTypeId,RegionTypeName,DangerLevel,ValidFrom,ValidTo,NextWarningTime,PublishTime,DangerIncreaseTime,DangerDecreaseTime,MainText,LangKey
212773,3022,Trollheimen,10,A,3,2020-02-13T00:00:00,2020-02-13T23:59:59,2020-02-14T16:00:00,2020-02-12T15:45:53.773,,,"Skredfaren er størst tidleg på døgnet som følgje av bygenedbør, låg temperatur og vind som bles opp mot stiv kuling natt til torsdag.",1
213046,3022,Trollheimen,10,A,3,2020-02-14T00:00:00,2020-02-14T23:59:59,2020-02-15T16:00:00,2020-02-13T15:44:29.013,,,Vinden aukar og dreier på sør til kvelden. Nye fokksnøflak vil danne seg i le for denne vindretninga og medføre at ein større del av terrenget er utsett.  ,1
213292,3022,Trollheimen,10,A,3,2020-02-15T00:00:00,2020-02-15T23:59:59,2020-02-16T16:00:00,2020-02-14T15:42:58.343,,,"Vindauke fører til auka skredfare. Unngå leområde der det samlar seg fersk fokksnø, typisk bak ryggar, i søkk og renneformasjonar.",1
213462,3022,Trollheimen,10,A,2,2020-02-16T00:00:00,2020-02-16T23:59:59,2020-02-17T16:00:00,2020-02-15T15:44:26.58,,,Ver forsiktig i leområder kor det samlar seg fersk fokksnø i høgfjellet. Naturleg utløyste skred kan førekomme i brattheng under mildvêrsgrensa.,1
213638,3022,Trollheimen,10,A,2,2020-02-17T00:00:00,2020-02-17T23:59:59,2020-02-18T16:00:00,2020-02-16T15:42:06.85,,,Vind og litt snø gir fersk fokksnø i leformasjonar i terrenget. Skred er lettast å løyse ut der fokksnøflaka er tynne eller mjuke.,1
213795,3022,Trollheimen,10,A,2,2020-02-18T00:00:00,2020-02-18T23:59:59,2020-02-19T16:00:00,2020-02-17T15:40:47.19,,,Vind og litt snø gir fersk fokksnø i leformasjonar i terrenget. Skred er lettast å løyse ut der fokksnøflaka er tynne eller mjuke.,1
214937,3022,Trollheimen,10,A,2,2020-02-19T00:00:00,2020-02-19T23:59:59,2020-02-20T16:00:00,2020-02-18T15:29:16.4,,,"Nysnø kan gi ustabile forhold i noen bratte heng. Unngå leområde hvor det samler seg nysnøflak, typisk bak ryggar, i søkk og renneformasjoner.",1
215097,3022,Trollheimen,10,A,2,2020-02-20T00:00:00,2020-02-20T23:59:59,2020-02-21T16:00:00,2020-02-19T15:26:55.04,,,Det ligger fersk fokksnø i leformasjonar i terrenget. Skred er lettest å løse ut der fokksnøflakene er tynne eller myke.,1
215334,3022,Trollheimen,10,A,2,2020-02-21T00:00:00,2020-02-21T23:59:59,2020-02-22T16:00:00,2020-02-20T15:32:37.94,,,Det ligger fersk fokksnø i leformasjoner i terrenget. Skred er lettest å løse ut der fokksnøflakene er tynne eller myke.,1
215513,3022,Trollheimen,10,A,3,2020-02-22T00:00:00,2020-02-22T23:59:59,2020-02-23T16:00:00,2020-02-21T15:28:37.717,,,Kraftig vind og snø gir økt skredfare. Unngå leområder der det samler seg fersk fokksnø.,1
215736,3022,Trollheimen,10,A,3,2020-02-23T00:00:00,2020-02-23T23:59:59,2020-02-24T16:00:00,2020-02-22T15:41:43.763,,,Ustabile fokksnøflak kan ligge på glatt skare i leområder. I disse områdene er det lett å løse ut skred. Unngå leområder hvor det ligger fokksnø.,1
217123,3022,Trollheimen,10,A,3,2020-02-24T00:00:00,2020-02-24T23:59:59,2020-02-25T16:00:00,2020-02-24T09:56:18.607,,,Ustabile fokksnøflak kan ligge på glatt skare i leområder. I disse områdene er det lett å løse ut skred. Unngå leområder hvor det ligger fokksnø.,1
217082,3022,Trollheimen,10,A,2,2020-02-25T00:00:00,2020-02-25T23:59:59,2020-02-26T16:00:00,2020-02-24T15:39:27.477,,,Det ligger fersk fokksnø i leformasjonar i terrenget. Skred er lettest å løse ut der fokksnøflakene er tynne eller myke.,1
217268,3022,Trollheimen,10,A,2,2020-02-26T00:00:00,2020-02-26T23:59:59,2020-02-27T16:00:00,2020-02-25T15:43:35.567,,,Ver varsom i terreng som har samla fokksnø. Skred er lettast å løyse ut der fokksnølaget er tynt eller mjukt.,1
217462,3022,Trollheimen,10,A,1,2020-02-27T00:00:00,2020-02-27T23:59:59,2020-02-28T16:00:00,2020-02-26T15:40:15.707,,,Ver varsom i bratt terreng det det ligg ferske fokksnøflak.,1
217679,3022,Trollheimen,10,A,2,2020-02-28T00:00:00,2020-02-28T23:59:59,2020-02-29T16:00:00,2020-02-27T15:41:55.79,,,Ver varsom i bratt terreng der det ligg ferske fokksnøflak.,1
217882,3022,Trollheimen,10,A,2,2020-02-29T00:00:00,2020-02-29T23:59:59,2020-03-01T16:00:00,2020-02-28T15:38:12.94,,,Kraftig vind frå ettermiddagen gir auka skredfare. Vær varsam i bratt terreng med fersk fokksnø.,1
218052,3022,Trollheimen,10,A,2,2020-03-01T00:00:00,2020-03-01T23:59:59,2020-03-02T16:00:00,2020-02-29T15:40:47.01,,,Kraftig vind gir fortsatt skredfare i leområder. Vær varsam i bratt terreng med fersk fokksnø.,1
218235,3022,Trollheimen,10,A,2,2020-03-02T00:00:00,2020-03-02T23:59:59,2020-03-03T16:00:00,2020-03-01T15:32:54.453,,,Ver varsom i terreng som har samla fokksnø. Skred er lettast å løyse ut der fokksnølaget er tynt eller mjukt.,1
218395,3022,Trollheimen,10,A,2,2020-03-03T00:00:00,2020-03-03T23:59:59,2020-03-04T16:00:00,2020-03-02T15:38:04.827,,,Ver varsom i terreng som har samla fokksnø. Skred er lettast å løyse ut der fokksnølaget er tynt eller mjukt.,1
